Price,Location,Number of Rooms,Area,Floor
450000,Sumqayıt,N/A,N/A,N/A
90000,Xırdalan,3 otaqlı,110 m²,5/6 mərtəbə
1080000,Mərdəkan q.,N/A,N/A,N/A
97000,Xırdalan,2 otaqlı,83 m²,5/12 mərtəbə
155000,Nardaran q.,1 otaqlı,3 m²,5/7 mərtəbə
1050000,Mərdəkan q.,N/A,N/A,N/A
205000,7-ci mikrorayon q.,3 otaqlı,4 m²,14/17 mərtəbə
48000,Binə q.,N/A,N/A,N/A
85000,Xırdalan,2 otaqlı,55 m²,14/15 mərtəbə
650000,Nərimanov r.,5 otaqlı,270 m²,8/16 mərtəbə
117000,Memar Əcəmi m.,2 otaqlı,50 m²,4/5 mərtəbə
160000,Mərdəkan q.,N/A,N/A,N/A
479900,Nizami m.,4 otaqlı,190 m²,14/19 mərtəbə
380000,Şah İsmayıl Xətai m.,4 otaqlı,147 m²,6/15 mərtəbə
420120,Səbail r.,3 otaqlı,6 m²,9/12 mərtəbə
82000,20 Yanvar m.,1 otaqlı,30 m²,17/18 mərtəbə
55000,Xaçmaz,N/A,N/A,N/A
163000,Badamdar q.,3 otaqlı,108 m²,3/5 mərtəbə
2000000,İçəri Şəhər m.,N/A,N/A,N/A
228000,İnşaatçılar m.,2 otaqlı,83 m²,4/20 mərtəbə
135000,Neftçilər m.,4 otaqlı,95 m²,4/5 mərtəbə
125000,4-cü mikrorayon q.,2 otaqlı,55 m²,4/5 mərtəbə
93000,Neftçilər m.,2 otaqlı,33 m²,1/5 mərtəbə
590000,Şüvəlan q.,N/A,N/A,N/A
16000,Göyçay,N/A,N/A,N/A
45800,Sabunçu q.,N/A,N/A,N/A
160000,Xalqlar Dostluğu m.,3 otaqlı,68 m²,6/9 mərtəbə
280000,Nəsimi m.,3 otaqlı,140 m²,15/18 mərtəbə
137000,Xalqlar Dostluğu m.,2 otaqlı,60 m²,9/9 mərtəbə
258000,Badamdar q.,3 otaqlı,134 m²,3/16 mərtəbə
178000,Neftçilər m.,3 otaqlı,70 m²,8/14 mərtəbə
120000,Əhmədli m.,2 otaqlı,60 m²,4/9 mərtəbə
220000,İnşaatçılar m.,3 otaqlı,100 m²,11/12 mərtəbə
135000,Həzi Aslanov m.,3 otaqlı,85 m²,5/5 mərtəbə
192000,Həzi Aslanov m.,4 otaqlı,102 m²,2/15 mərtəbə
192000,Həzi Aslanov m.,3 otaqlı,102 m²,4/15 mərtəbə
540000,Nəsimi r.,4 otaqlı,230 m²,8/16 mərtəbə
120000,Xətai r.,3 otaqlı,56 m²,14/20 mərtəbə
650000,Xətai r.,N/A,N/A,N/A
97000,Zabrat q.,N/A,N/A,N/A
168000,Nərimanov r.,2 otaqlı,52 m²,15/17 mərtəbə
167000,Nərimanov r.,2 otaqlı,54 m²,13/15 mərtəbə
275000,Şah İsmayıl Xətai m.,3 otaqlı,105 m²,12/19 mərtəbə
