Price,Location,Number of Rooms,Area,Floor
185000,Yeni Yasamal q.,2 otaqlı,75 m²,7/16 mərtəbə
123000,Neftçilər m.,2 otaqlı,54 m²,17/18 mərtəbə
185000,20 Yanvar m.,4 otaqlı,146 m²,15/18 mərtəbə
150000,Neftçilər m.,2 otaqlı,75 m²,2/11 mərtəbə
130000,Həzi Aslanov m.,3 otaqlı,55 m²,3/5 mərtəbə
395000,Şağan q.,N/A,N/A,N/A
264141,Nərimanov r.,2 otaqlı,8 m²,4/17 mərtəbə
196000,Nərimanov r.,2 otaqlı,65 m²,8/17 mərtəbə
165000,İnşaatçılar m.,2 otaqlı,56 m²,5/12 mərtəbə
112000,Bakıxanov q.,2 otaqlı,46 m²,13/16 mərtəbə
129000,Həzi Aslanov m.,2 otaqlı,55 m²,10/19 mərtəbə
200000,İnşaatçılar m.,3 otaqlı,6 m²,3/17 mərtəbə
158000,Elmlər Akademiyası m.,3 otaqlı,72 m²,5/5 mərtəbə
290000,Lənkəran,N/A,N/A,N/A
222000,Həzi Aslanov m.,3 otaqlı,110 m²,5/19 mərtəbə
170000,9-cu mikrorayon q.,4 otaqlı,120 m²,2/9 mərtəbə
280000,İnşaatçılar m.,4 otaqlı,180 m²,9/10 mərtəbə
109000,Elmlər Akademiyası m.,2 otaqlı,40 m²,4/5 mərtəbə
187000,Azadlıq Prospekti m.,3 otaqlı,128 m²,9/10 mərtəbə
131000,Neftçilər m.,2 otaqlı,67 m²,16/17 mərtəbə
199000,Nəsimi r.,2 otaqlı,100 m²,14/17 mərtəbə
180000,Mərdəkan q.,N/A,N/A,N/A
193000,28 May m.,2 otaqlı,75 m²,7/14 mərtəbə
195000,Həzi Aslanov m.,3 otaqlı,84 m²,9/19 mərtəbə
86000,Xətai r.,3 otaqlı,42 m²,8/9 mərtəbə
130000,Əhmədli m.,2 otaqlı,80 m²,6/17 mərtəbə
305000,İnşaatçılar m.,3 otaqlı,140 m²,6/17 mərtəbə
110000,Memar Əcəmi m.,2 otaqlı,45 m²,5/5 mərtəbə
169000,Həzi Aslanov m.,3 otaqlı,88 m²,4/10 mərtəbə
112000,Memar Əcəmi m.,2 otaqlı,52 m²,4/5 mərtəbə
220000,Yasamal q.,3 otaqlı,121 m²,4/23 mərtəbə
175000,Nardaran q.,1 otaqlı,3 m²,6/7 mərtəbə
578000,Ağ şəhər q.,4 otaqlı,3 m²,2/8 mərtəbə
168000,Bakıxanov q.,2 otaqlı,2 m²,6/14 mərtəbə
43000,Nizami m.,1 otaqlı,17 m²,1/2 mərtəbə
108000,Xalqlar Dostluğu m.,2 otaqlı,60 m²,3/9 mərtəbə
195000,Albalılıq q.,N/A,N/A,N/A
129000,Nizami r.,2 otaqlı,60 m²,10/18 mərtəbə
223000,Xalqlar Dostluğu m.,3 otaqlı,95 m²,15/17 mərtəbə
220000,Həzi Aslanov m.,3 otaqlı,100 m²,2/6 mərtəbə
120000,Quba,N/A,N/A,N/A
95000,Biləcəri q.,2 otaqlı,65 m²,3/5 mərtəbə
159000,Neftçilər m.,2 otaqlı,67 m²,18/19 mərtəbə
139000,Həzi Aslanov m.,2 otaqlı,75 m²,9/10 mərtəbə
90000,Neftçilər m.,1 otaqlı,36 m²,3/5 mərtəbə
96000,Memar Əcəmi m.,2 otaqlı,38 m²,3/5 mərtəbə
139000,Bakıxanov q.,3 otaqlı,70 m²,7/9 mərtəbə
235000,Həzi Aslanov m.,3 otaqlı,112 m²,14/20 mərtəbə
248220,Həzi Aslanov q.,3 otaqlı,126 m²,18/19 mərtəbə
150000,Xırdalan,3 otaqlı,105 m²,2/12 mərtəbə
151000,Nizami r.,3 otaqlı,70 m²,7/9 mərtəbə
127000,Bakıxanov q.,3 otaqlı,60 m²,2/9 mərtəbə
80000,20-ci sahə q.,N/A,N/A,N/A
135000,Bakıxanov q.,2 otaqlı,82 m²,18/19 mərtəbə
350000,Şah İsmayıl Xətai m.,3 otaqlı,110 m²,6/18 mərtəbə
150000,Elmlər Akademiyası m.,2 otaqlı,41 m²,1/5 mərtəbə
215000,Nəriman Nərimanov m.,3 otaqlı,100 m²,5/5 mərtəbə
234000,28 May m.,2 otaqlı,90 m²,11/19 mərtəbə
8900,Hökməli q.,N/A,N/A,N/A
690000,Mərdəkan q.,N/A,N/A,N/A
314116,8 Noyabr m.,3 otaqlı,8 m²,7/16 mərtəbə
225000,9-cu mikrorayon q.,3 otaqlı,90 m²,6/17 mərtəbə
678000,28 May m.,4 otaqlı,242 m²,12/17 mərtəbə
220000,Bakıxanov q.,3 otaqlı,125 m²,7/12 mərtəbə
186000,Memar Əcəmi m.,2 otaqlı,94 m²,7/18 mərtəbə
355000,Koroğlu m.,4 otaqlı,310 m²,18/19 mərtəbə
400000,Nərimanov r.,3 otaqlı,150 m²,8/16 mərtəbə
220000,Bakıxanov q.,2 otaqlı,80 m²,11/12 mərtəbə
128000,20 Yanvar m.,2 otaqlı,50 m²,20/20 mərtəbə
124000,Yeni Günəşli q.,2 otaqlı,55 m²,4/9 mərtəbə
128000,Yeni Günəşli q.,3 otaqlı,80 m²,7/10 mərtəbə
290000,Neftçilər m.,4 otaqlı,185 m²,13/16 mərtəbə
48000,Masazır q.,N/A,N/A,N/A
120000,Yeni Günəşli q.,3 otaqlı,75 m²,4/9 mərtəbə
98000,NZS q.,N/A,N/A,N/A
175000,Bakıxanov q.,3 otaqlı,96 m²,10/12 mərtəbə
222000,Gənclik m.,3 otaqlı,140 m²,9/16 mərtəbə
395000,İnşaatçılar m.,3 otaqlı,148 m²,19/27 mərtəbə
245000,Həzi Aslanov m.,3 otaqlı,125 m²,6/17 mərtəbə
385000,8 Noyabr m.,3 otaqlı,150 m²,5/27 mərtəbə
376000,İnşaatçılar m.,3 otaqlı,103 m²,25/27 mərtəbə
340000,Elmlər Akademiyası m.,3 otaqlı,110 m²,15/17 mərtəbə
120000,Yasamal r.,2 otaqlı,55 m²,7/21 mərtəbə
325000,İnşaatçılar m.,3 otaqlı,103 m²,21/27 mərtəbə
143000,Gənclik m.,2 otaqlı,50 m²,3/10 mərtəbə
420000,8 Noyabr m.,3 otaqlı,160 m²,16/18 mərtəbə
140000,İnşaatçılar m.,2 otaqlı,40 m²,6/14 mərtəbə
300000,Şah İsmayıl Xətai m.,5 otaqlı,5 m²,18/19 mərtəbə
93000,Masazır q.,3 otaqlı,87 m²,5/10 mərtəbə
34000,Binə q.,N/A,N/A,N/A
127260,8 Noyabr m.,1 otaqlı,5 m²,7/16 mərtəbə
118000,Yeni Günəşli q.,2 otaqlı,60 m²,9/16 mərtəbə
165000,İnşaatçılar m.,2 otaqlı,57 m²,5/13 mərtəbə
83000,Kürdəxanı q.,3 otaqlı,100 m²,2/2 mərtəbə
185000,Yasamal r.,3 otaqlı,65 m²,3/4 mərtəbə
315000,Nəsimi r.,3 otaqlı,125 m²,15/17 mərtəbə
120000,Sabunçu r.,2 otaqlı,52 m²,16/16 mərtəbə
115000,Memar Əcəmi m.,2 otaqlı,55 m²,3/5 mərtəbə
83500,Zabrat q.,N/A,N/A,N/A
112000,Həzi Aslanov q.,1 otaqlı,2 m²,2/19 mərtəbə
127000,Həzi Aslanov m.,2 otaqlı,75 m²,2/4 mərtəbə
300000,Azadlıq Prospekti m.,N/A,N/A,N/A
165000,Binəqədi r.,2 otaqlı,2 m²,14/15 mərtəbə
1000000,Nərimanov r.,N/A,N/A,N/A
270000,8 Noyabr m.,3 otaqlı,135 m²,6/18 mərtəbə
538000,Nəriman Nərimanov m.,4 otaqlı,179 m²,12/17 mərtəbə
640000,Ağ şəhər q.,4 otaqlı,170 m²,4/7 mərtəbə
128000,Azadlıq Prospekti m.,2 otaqlı,60 m²,8/9 mərtəbə
900000,Mərdəkan q.,N/A,N/A,N/A
295000,Nərimanov r.,3 otaqlı,115 m²,17/19 mərtəbə
170000,Gənclik m.,2 otaqlı,65 m²,13/17 mərtəbə
264000,Neftçilər m.,3 otaqlı,128 m²,11/18 mərtəbə
185000,Nizami m.,2 otaqlı,65 m²,14/16 mərtəbə
340000,Həzi Aslanov m.,4 otaqlı,138 m²,14/19 mərtəbə
93000,Qaraçuxur q.,2 otaqlı,46 m²,4/5 mərtəbə
332000,Nəsimi r.,3 otaqlı,213 m²,13/14 mərtəbə
370000,Nəsimi m.,N/A,N/A,N/A
200000,Mərdəkan q.,N/A,N/A,N/A
55800,Xırdalan,1 otaqlı,45 m²,11/11 mərtəbə
315000,Nəsimi r.,3 otaqlı,125 m²,15/18 mərtəbə
259000,Həzi Aslanov m.,N/A,N/A,N/A
240000,Qəbələ,N/A,N/A,N/A
160000,Şüvəlan q.,N/A,N/A,N/A
350000,Nərimanov r.,3 otaqlı,160 m²,7/7 mərtəbə
104000,Azadlıq Prospekti m.,2 otaqlı,50 m²,1/5 mərtəbə
210000,Şah İsmayıl Xətai m.,N/A,N/A,N/A
170000,Mərdəkan q.,N/A,N/A,N/A
238000,Nizami m.,2 otaqlı,101 m²,7/18 mərtəbə
265000,20 Yanvar m.,3 otaqlı,155 m²,2/19 mərtəbə
300000,Qara Qarayev m.,4 otaqlı,165 m²,4/16 mərtəbə
125000,Nəsimi r.,1 otaqlı,40 m²,1/5 mərtəbə
250000,Nizami m.,3 otaqlı,100 m²,4/16 mərtəbə
104000,Xırdalan,2 otaqlı,70 m²,3/7 mərtəbə
120000,Badamdar q.,N/A,N/A,N/A
320000,Şah İsmayıl Xətai m.,3 otaqlı,126 m²,10/19 mərtəbə
165000,Nəriman Nərimanov m.,2 otaqlı,65 m²,11/14 mərtəbə
113000,Binəqədi r.,4 otaqlı,85 m²,5/6 mərtəbə
178000,Həzi Aslanov m.,2 otaqlı,90 m²,2/16 mərtəbə
510000,Xətai r.,3 otaqlı,140 m²,4/7 mərtəbə
235000,8 Noyabr m.,3 otaqlı,124 m²,14/17 mərtəbə
190900,Həzi Aslanov m.,3 otaqlı,90 m²,14/16 mərtəbə
250000,Şah İsmayıl Xətai m.,2 otaqlı,79 m²,12/18 mərtəbə
116000,Sumqayıt,N/A,N/A,N/A
6000,Nardaran q.,N/A,N/A,N/A
578000,Ağ şəhər q.,4 otaqlı,3 m²,2/8 mərtəbə
142000,Memar Əcəmi m.,2 otaqlı,61 m²,13/16 mərtəbə
527450,Bayıl q.,3 otaqlı,8 m²,3/11 mərtəbə
250000,Şah İsmayıl Xətai m.,2 otaqlı,79 m²,12/18 mərtəbə
116000,Sumqayıt,N/A,N/A,N/A
210000,Bakıxanov q.,2 otaqlı,80 m²,11/14 mərtəbə
97000,Neftçilər m.,2 otaqlı,35 m²,4/5 mərtəbə
83000,Buzovna q.,N/A,N/A,N/A
157000,İnşaatçılar m.,2 otaqlı,50 m²,3/15 mərtəbə
245000,Mərdəkan q.,N/A,N/A,N/A
1600,İsmayıllı,N/A,N/A,N/A
85000,Suraxanı r.,1 otaqlı,67 m²,16/20 mərtəbə
81000,Həzi Aslanov q.,N/A,N/A,N/A
170000,Mərdəkan q.,N/A,N/A,N/A
95000,Biləcəri q.,2 otaqlı,60 m²,2/5 mərtəbə
220000,Həzi Aslanov m.,3 otaqlı,115 m²,14/18 mərtəbə
133500,Azadlıq Prospekti m.,2 otaqlı,60 m²,4/9 mərtəbə
165000,Mərdəkan q.,N/A,N/A,N/A
259900,28 May m.,2 otaqlı,83 m²,9/18 mərtəbə
170000,Şüvəlan q.,N/A,N/A,N/A
148000,İnşaatçılar m.,3 otaqlı,90 m²,3/5 mərtəbə
165000,Mərdəkan q.,N/A,N/A,N/A
160000,Həzi Aslanov m.,N/A,N/A,N/A
155000,Şüvəlan q.,N/A,N/A,N/A
970000,İnşaatçılar m.,6 otaqlı,305 m²,16/18 mərtəbə
650000,28 May m.,3 otaqlı,195 m²,15/19 mərtəbə
127000,Mərdəkan q.,N/A,N/A,N/A
132000,Həzi Aslanov q.,2 otaqlı,55 m²,14/16 mərtəbə
173000,Azadlıq Prospekti m.,2 otaqlı,69 m²,4/17 mərtəbə
110000,Qaraçuxur q.,2 otaqlı,60 m²,1/5 mərtəbə
425000,Nəsimi r.,3 otaqlı,135 m²,14/20 mərtəbə
175000,İnşaatçılar m.,3 otaqlı,92 m²,7/20 mərtəbə
225000,Yeni Yasamal q.,3 otaqlı,130 m²,3/12 mərtəbə
155000,Şüvəlan q.,N/A,N/A,N/A
375000,Şah İsmayıl Xətai m.,3 otaqlı,137 m²,15/15 mərtəbə
680000,Nardaran q.,N/A,N/A,N/A
260000,Şüvəlan q.,N/A,N/A,N/A
195000,Xalqlar Dostluğu m.,3 otaqlı,90 m²,8/16 mərtəbə
45000,Füzuli,N/A,N/A,N/A
115000,Qaradağ r.,2 otaqlı,65 m²,12/16 mərtəbə
188000,28 May m.,3 otaqlı,68 m²,9/14 mərtəbə
349000,Elmlər Akademiyası m.,5 otaqlı,200 m²,16/19 mərtəbə
123000,İnşaatçılar m.,2 otaqlı,50 m²,15/18 mərtəbə
259000,Neftçilər m.,3 otaqlı,155 m²,16/18 mərtəbə
105000,Nizami m.,2 otaqlı,40 m²,1/5 mərtəbə
114000,7-ci mikrorayon q.,2 otaqlı,45 m²,2/5 mərtəbə
143000,Yasamal r.,2 otaqlı,90 m²,4/16 mərtəbə
179000,Xalqlar Dostluğu m.,N/A,N/A,N/A
173000,Əhmədli q.,3 otaqlı,74 m²,5/9 mərtəbə
137000,Nizami r.,2 otaqlı,70 m²,14/16 mərtəbə
450000,Bakıxanov q.,N/A,N/A,N/A
500000,Mərdəkan q.,N/A,N/A,N/A
255000,Pirallahı r.,N/A,N/A,N/A
175000,Xalqlar Dostluğu m.,3 otaqlı,110 m²,18/19 mərtəbə
125000,Yasamal r.,2 otaqlı,80 m²,8/16 mərtəbə
850000,Həzi Aslanov q.,N/A,N/A,N/A
127000,Memar Əcəmi m.,2 otaqlı,48 m²,5/9 mərtəbə
139000,Xətai r.,3 otaqlı,80 m²,2/9 mərtəbə
470000,Mərdəkan q.,N/A,N/A,N/A
250000,Şüvəlan q.,N/A,N/A,N/A
265000,8 Noyabr m.,2 otaqlı,98 m²,9/16 mərtəbə
225000,Memar Əcəmi m.,4 otaqlı,110 m²,4/9 mərtəbə
182000,Mərdəkan q.,N/A,N/A,N/A
125000,Nəsimi m.,3 otaqlı,58 m²,4/5 mərtəbə
600000,Şah İsmayıl Xətai m.,3 otaqlı,141 m²,12/21 mərtəbə
265000,Nəsimi r.,3 otaqlı,100 m²,10/17 mərtəbə
145000,İnşaatçılar m.,2 otaqlı,67 m²,8/9 mərtəbə
120000,Binəqədi q.,N/A,N/A,N/A
119000,Bakıxanov q.,3 otaqlı,63 m²,1/3 mərtəbə
168000,28 May m.,2 otaqlı,54 m²,13/15 mərtəbə
89000,Hövsan q.,N/A,N/A,N/A
65000,Masazır q.,N/A,N/A,N/A
275000,Sahil m.,3 otaqlı,85 m²,3/4 mərtəbə
185000,Nərimanov r.,2 otaqlı,65 m²,16/17 mərtəbə
265000,Qara Qarayev m.,4 otaqlı,124 m²,2/17 mərtəbə
109000,Masazır q.,N/A,N/A,N/A
350000,Nəsimi r.,3 otaqlı,132 m²,4/12 mərtəbə
255000,Nəsimi r.,3 otaqlı,138 m²,3/16 mərtəbə
218000,İnşaatçılar m.,3 otaqlı,130 m²,14/17 mərtəbə
27500,Quba,N/A,N/A,N/A
43000,Qəbələ,N/A,N/A,N/A
145000,Yeni Yasamal q.,2 otaqlı,67 m²,8/9 mərtəbə
91000,Masazır q.,3 otaqlı,83 m²,5/6 mərtəbə
420000,Mərdəkan q.,N/A,N/A,N/A
315000,Səbail r.,3 otaqlı,150 m²,8/18 mərtəbə
360000,Badamdar q.,N/A,N/A,N/A
335000,Kubinka q.,3 otaqlı,100 m²,12/15 mərtəbə
160000,Xalqlar Dostluğu m.,3 otaqlı,45 m²,6/9 mərtəbə
273000,8 Noyabr m.,2 otaqlı,125 m²,6/10 mərtəbə
16000,Göyçay,N/A,N/A,N/A
149000,Xalqlar Dostluğu m.,2 otaqlı,120 m²,14/19 mərtəbə
370000,Şah İsmayıl Xətai m.,3 otaqlı,137 m²,14/16 mərtəbə
77000,Sumqayıt,2 otaqlı,52 m²,1/1 mərtəbə
262000,Qara Qarayev m.,3 otaqlı,118 m²,17/17 mərtəbə
569000,28 May m.,5 otaqlı,240 m²,14/15 mərtəbə
235000,İnşaatçılar m.,3 otaqlı,132 m²,14/21 mərtəbə
196000,Şah İsmayıl Xətai m.,2 otaqlı,76 m²,22/24 mərtəbə
265000,Səbail r.,2 otaqlı,5 m²,2/4 mərtəbə
172000,Şah İsmayıl Xətai m.,2 otaqlı,76 m²,19/24 mərtəbə
120000,Nizami r.,2 otaqlı,64 m²,2/16 mərtəbə
153000,Dərnəgül m.,2 otaqlı,78 m²,5/17 mərtəbə
375000,Binəqədi q.,3 otaqlı,150 m²,6/16 mərtəbə
137000,Hövsan q.,N/A,N/A,N/A
50000,İsmayıllı,N/A,N/A,N/A
220000,İnşaatçılar m.,2 otaqlı,102 m²,7/17 mərtəbə
27000,Koroğlu m.,N/A,N/A,N/A
150000,Nəsimi m.,N/A,N/A,N/A
127000,Nəriman Nərimanov m.,2 otaqlı,45 m²,4/5 mərtəbə
240000,20 Yanvar m.,3 otaqlı,120 m²,7/16 mərtəbə
125000,Elmlər Akademiyası m.,1 otaqlı,35 m²,4/5 mərtəbə
197000,Nərimanov r.,2 otaqlı,68 m²,12/12 mərtəbə
200000,Sabunçu r.,N/A,N/A,N/A
206703,Nardaran q.,1 otaqlı,9 m²,1/8 mərtəbə
198000,Nardaran q.,N/A,N/A,N/A
112000,Mərdəkan q.,N/A,N/A,N/A
145000,Nizami r.,3 otaqlı,80 m²,3/5 mərtəbə
162000,Əhmədli m.,3 otaqlı,92 m²,14/18 mərtəbə
455000,Mərdəkan q.,N/A,N/A,N/A
148500,Əhmədli m.,2 otaqlı,55 m²,4/12 mərtəbə
342000,Nizami m.,3 otaqlı,134 m²,9/15 mərtəbə
23000,Zabrat q.,N/A,N/A,N/A
750000,Nəsimi r.,2 otaqlı,107 m²,3/32 mərtəbə
115000,Masazır q.,N/A,N/A,N/A
167000,İnşaatçılar m.,3 otaqlı,85 m²,4/9 mərtəbə
160000,Biləcəri q.,N/A,N/A,N/A
137000,Həzi Aslanov m.,2 otaqlı,51 m²,3/19 mərtəbə
197000,Nərimanov r.,2 otaqlı,62 m²,14/17 mərtəbə
3300000,Neftçilər m.,N/A,N/A,N/A
490000,Gənclik m.,5 otaqlı,170 m²,6/17 mərtəbə
218000,Nəriman Nərimanov m.,2 otaqlı,80 m²,15/18 mərtəbə
125000,Xətai r.,2 otaqlı,55 m²,6/10 mərtəbə
191000,Nəsimi r.,2 otaqlı,65 m²,11/20 mərtəbə
95000,Biləcəri q.,2 otaqlı,58 m²,3/5 mərtəbə
190000,Memar Əcəmi m.,2 otaqlı,90 m²,9/14 mərtəbə
198000,Gənclik m.,2 otaqlı,66 m²,12/16 mərtəbə
290000,Nəsimi r.,3 otaqlı,100 m²,15/20 mərtəbə
203000,28 May m.,3 otaqlı,100 m²,3/12 mərtəbə
275000,Nizami m.,2 otaqlı,84 m²,4/15 mərtəbə
135000,Nəsimi m.,2 otaqlı,60 m²,4/5 mərtəbə
210000,Nəsimi m.,N/A,N/A,N/A
195000,Gənclik m.,2 otaqlı,65 m²,14/17 mərtəbə
71500,Sumqayıt,2 otaqlı,60 m²,8/8 mərtəbə
148000,Ağ şəhər q.,1 otaqlı,74 m²,4/22 mərtəbə
169000,Binəqədi r.,2 otaqlı,63 m²,17/19 mərtəbə
350000,Azadlıq Prospekti m.,N/A,N/A,N/A
106000,Xətai r.,2 otaqlı,60 m²,15/20 mərtəbə
315000,Azadlıq Prospekti m.,3 otaqlı,105 m²,7/17 mərtəbə
72000,Ramana q.,N/A,N/A,N/A
305000,Nərimanov r.,3 otaqlı,153 m²,20/22 mərtəbə
430000,Nizami m.,4 otaqlı,3 m²,13/15 mərtəbə
308000,Nərimanov r.,3 otaqlı,145 m²,15/19 mərtəbə
136000,Nizami r.,3 otaqlı,68 m²,5/5 mərtəbə
310000,Nizami m.,2 otaqlı,95 m²,4/15 mərtəbə
298000,Elmlər Akademiyası m.,4 otaqlı,180 m²,16/17 mərtəbə
153000,Qara Qarayev m.,2 otaqlı,60 m²,6/16 mərtəbə
400000,Elmlər Akademiyası m.,N/A,N/A,N/A
162000,Neftçilər m.,2 otaqlı,65 m²,10/17 mərtəbə
24500,Qəbələ,N/A,N/A,N/A
125000,Həzi Aslanov m.,2 otaqlı,57 m²,6/10 mərtəbə
162000,Nəriman Nərimanov m.,2 otaqlı,60 m²,15/18 mərtəbə
295000,28 May m.,3 otaqlı,121 m²,4/16 mərtəbə
195000,Sumqayıt,N/A,N/A,N/A
390000,Nizami m.,4 otaqlı,210 m²,3/16 mərtəbə
165000,İnşaatçılar m.,2 otaqlı,62 m²,5/12 mərtəbə
167000,Sumqayıt,4 otaqlı,127 m²,2/12 mərtəbə
95000,Xırdalan,2 otaqlı,55 m²,4/16 mərtəbə
32000,Lənkəran,N/A,N/A,N/A
137000,8-ci kilometr q.,2 otaqlı,63 m²,2/9 mərtəbə
390000,Nəsimi r.,4 otaqlı,130 m²,4/16 mərtəbə
350000,Nərimanov r.,3 otaqlı,160 m²,7/7 mərtəbə
153000,Dərnəgül m.,2 otaqlı,78 m²,5/17 mərtəbə
268000,Nizami m.,3 otaqlı,120 m²,8/16 mərtəbə
200000,Xocəsən m.,N/A,N/A,N/A
480000,Nəsimi r.,4 otaqlı,230 m²,8/18 mərtəbə
465000,Mərdəkan q.,N/A,N/A,N/A
420000,Elmlər Akademiyası m.,4 otaqlı,180 m²,11/16 mərtəbə
138700,6-cı mikrorayon q.,2 otaqlı,4 m²,5/9 mərtəbə
269000,İnşaatçılar m.,3 otaqlı,148 m²,16/18 mərtəbə
700000,İnşaatçılar m.,N/A,N/A,N/A
370000,Nəsimi r.,3 otaqlı,112 m²,4/17 mərtəbə
370000,Mərdəkan q.,N/A,N/A,N/A
155000,Elmlər Akademiyası m.,3 otaqlı,86 m²,5/5 mərtəbə
115000,Xırdalan,3 otaqlı,83 m²,11/12 mərtəbə
420000,Şüvəlan q.,N/A,N/A,N/A
61000,Sumqayıt,2 otaqlı,34 m²,4/4 mərtəbə
220000,Mərdəkan q.,N/A,N/A,N/A
900000,28 May m.,6 otaqlı,420 m²,14/16 mərtəbə
300000,Şüvəlan q.,N/A,N/A,N/A
710000,Abşeron r.,4 otaqlı,257 m²,12/15 mərtəbə
161000,Yasamal r.,3 otaqlı,100 m²,16/16 mərtəbə
132000,28 May m.,2 otaqlı,70 m²,5/5 mərtəbə
96000,İnşaatçılar m.,2 otaqlı,48 m²,4/5 mərtəbə
144000,Nəsimi r.,2 otaqlı,63 m²,5/10 mərtəbə
282000,Gənclik m.,3 otaqlı,140 m²,4/16 mərtəbə
265000,Gənclik m.,3 otaqlı,119 m²,12/17 mərtəbə
258000,Nəriman Nərimanov m.,2 otaqlı,90 m²,14/18 mərtəbə
56000,Albalılıq q.,N/A,N/A,N/A
350000,Nəsimi r.,4 otaqlı,130 m²,8/13 mərtəbə
545000,Mərdəkan q.,N/A,N/A,N/A
135000,Xırdalan,3 otaqlı,92 m²,7/16 mərtəbə
125000,Yasamal r.,2 otaqlı,60 m²,7/16 mərtəbə
105000,İnşaatçılar m.,2 otaqlı,91 m²,12/12 mərtəbə
70000,Saray q.,2 otaqlı,58 m²,8/14 mərtəbə
550000,28 May m.,4 otaqlı,6 m²,7/17 mərtəbə
691080,28 May m.,5 otaqlı,8 m²,4/16 mərtəbə
105000,Neftçilər m.,3 otaqlı,79 m²,3/5 mərtəbə
330000,Zirə q.,N/A,N/A,N/A
120000,Xırdalan,2 otaqlı,80 m²,8/12 mərtəbə
691000,28 May m.,5 otaqlı,8 m²,4/16 mərtəbə
312000,28 May m.,3 otaqlı,120 m²,3/16 mərtəbə
400000,Şah İsmayıl Xətai m.,3 otaqlı,140 m²,15/20 mərtəbə
506740,28 May m.,4 otaqlı,9 m²,4/16 mərtəbə
330000,Nəsimi r.,4 otaqlı,141 m²,3/17 mərtəbə
147000,İnşaatçılar m.,3 otaqlı,65 m²,7/9 mərtəbə
230000,Badamdar q.,3 otaqlı,100 m²,11/17 mərtəbə
160000,Memar Əcəmi m.,3 otaqlı,7 m²,13/13 mərtəbə
490000,Gənclik m.,3 otaqlı,146 m²,2/13 mərtəbə
250000,Sahil m.,N/A,N/A,N/A
543200,Nəsimi r.,4 otaqlı,194 m²,9/16 mərtəbə
390000,Nəsimi r.,4 otaqlı,130 m²,4/16 mərtəbə
125000,Nizami m.,N/A,N/A,N/A
322000,Elmlər Akademiyası m.,3 otaqlı,126 m²,3/18 mərtəbə
149000,Mərdəkan q.,N/A,N/A,N/A
290000,9-cu mikrorayon q.,N/A,N/A,N/A
147000,İnşaatçılar m.,3 otaqlı,65 m²,7/9 mərtəbə
85000,Köhnə Günəşli q.,2 otaqlı,40 m²,2/9 mərtəbə
149600,7-ci mikrorayon q.,2 otaqlı,55 m²,16/17 mərtəbə
219000,Səbail r.,3 otaqlı,100 m²,3/17 mərtəbə
370170,Nəsimi r.,3 otaqlı,1 m²,6/16 mərtəbə
405000,8 Noyabr m.,3 otaqlı,148 m²,19/27 mərtəbə
425430,Nəsimi r.,3 otaqlı,7 m²,8/16 mərtəbə
690000,20 Yanvar m.,N/A,N/A,N/A
450000,Sahil m.,4 otaqlı,165 m²,11/13 mərtəbə
338000,28 May m.,3 otaqlı,115 m²,15/18 mərtəbə
379000,8 Noyabr m.,3 otaqlı,103 m²,25/27 mərtəbə
523800,Nəsimi r.,4 otaqlı,194 m²,7/16 mərtəbə
599000,Nizami r.,N/A,N/A,N/A
365000,Nərimanov r.,4 otaqlı,152 m²,8/17 mərtəbə
295000,Nizami m.,3 otaqlı,120 m²,19/21 mərtəbə
260000,Nəsimi m.,3 otaqlı,135 m²,8/17 mərtəbə
132000,Nizami m.,2 otaqlı,32 m²,2/5 mərtəbə
396090,Nəsimi r.,3 otaqlı,7 m²,4/16 mərtəbə
223000,Nəsimi r.,3 otaqlı,115 m²,5/8 mərtəbə
195999,7-ci mikrorayon q.,3 otaqlı,81 m²,13/17 mərtəbə
115000,Bakıxanov q.,3 otaqlı,81 m²,19/19 mərtəbə
560000,Nəriman Nərimanov m.,4 otaqlı,170 m²,16/17 mərtəbə
138000,Zabrat q.,3 otaqlı,100 m²,1/15 mərtəbə
207000,Həzi Aslanov m.,3 otaqlı,93 m²,18/20 mərtəbə
164000,Memar Əcəmi m.,2 otaqlı,77 m²,5/8 mərtəbə
264000,8-ci kilometr q.,3 otaqlı,130 m²,11/18 mərtəbə
135000,Həzi Aslanov m.,3 otaqlı,70 m²,9/9 mərtəbə
310233,Nardaran q.,1 otaqlı,3 m²,5/7 mərtəbə
486000,Şah İsmayıl Xətai m.,3 otaqlı,135 m²,2/7 mərtəbə
147000,Əhmədli q.,3 otaqlı,90 m²,6/9 mərtəbə
106000,Həzi Aslanov q.,3 otaqlı,80 m²,3/5 mərtəbə
162000,Nərimanov r.,2 otaqlı,65 m²,7/9 mərtəbə
40000,Binə q.,N/A,N/A,N/A
195000,Həzi Aslanov q.,3 otaqlı,88 m²,4/19 mərtəbə
178000,20 Yanvar m.,3 otaqlı,70 m²,10/20 mərtəbə
160000,Bakıxanov q.,3 otaqlı,70 m²,1/9 mərtəbə
1000000,Xətai r.,N/A,N/A,N/A
420000,Şüvəlan q.,N/A,N/A,N/A
338000,Nərimanov r.,3 otaqlı,115 m²,15/17 mərtəbə
228000,İnşaatçılar m.,3 otaqlı,98 m²,5/16 mərtəbə
48700,Masazır q.,N/A,N/A,N/A
128000,Həzi Aslanov m.,2 otaqlı,59 m²,3/12 mərtəbə
